authorid,metric
1681959,0.04889802235434011
1681967,0.15524014978270279
1681979,0.10538079565996646
1681994,0.14347461370563996
1681995,0.0
1681999,0.0
1682001,0.13422647167374074
1682026,0.0
1682027,0.0
1682028,0.1232201244086257
1682031,0.0
1682046,0.0
1682047,0.0
1682048,0.0
1682050,0.12035859386491221
1682056,0.1444143255754273
1682058,0.18937893612760826
1682077,0.0
1682088,0.14918491231604292
1682090,0.0
1682091,0.0
1682097,0.16502744578782752
1682100,0.15218088349893139
1682111,0.0
1682127,0.0
1682133,0.1401208479177507
1682137,0.0
1682138,0.0
1682177,0.1088810793532409
1682183,0.08671950425732378
1682190,0.11074555254825336
1682208,0.11127237429018806
1682209,0.13081861505720888
1682210,0.12269421331224753
1682220,0.0
1682225,0.11698015165375952
1682235,0.16307163953386683
1682236,0.17375446517348125
1682246,0.0
1682247,0.1382112855879798
1682255,0.0
1682271,0.0
1682273,0.1518591712121019
1682274,0.10249236943446138
1682278,0.16402894423860903
1682283,0.11367025824715549
1682291,0.12563629579273217
1682292,0.1393649068253564
1682298,0.0849813328784973
1682302,0.0
1682304,0.0
1682309,0.13157949643201952
1682312,0.1686108261083329
1682317,0.10786678609600053
1682326,0.0
1682327,0.0
1682333,0.1293236825928038
1682335,0.0
1682336,0.12457105327239981
1682356,0.08181569176520653
1682367,0.12254679062957541
1682374,0.18110396188429922
1682380,0.11657536204713714
1682385,0.0
1682390,0.12937261375968812
1682397,0.0
1682398,0.0
1682404,0.14595319144383154
1682406,0.11684629679407132
1682407,0.0
1682408,0.09755368095350758
1682414,0.0
1682415,0.12210899282846646
1682417,0.1587913837115411
1682418,0.06277282241160598
1682421,0.0
1682423,0.12345092750516762
1682433,0.15999963066351375
1682436,0.0
1682440,0.0
1682441,0.10442645966680189
1682451,0.0
1682458,0.0
1682461,0.1030275439516306
1682479,0.10347889750758033
1682491,0.1447919375155311
1682501,0.0
1682503,0.10641326231956356
1682510,0.0
1682514,0.0
1682519,0.0
1682522,0.0
1682527,0.0
1682528,0.10295244122431702
1682534,0.0
1682535,0.0
1682541,0.0
1682548,0.14438409698646992
1682549,0.15502827766795382
1682559,0.13504495080726214
1682563,0.0
1682569,0.20290835868475765
1682580,0.19912492265506376
1682581,0.0
1682586,0.09720997334465697
1682587,0.0
1682589,0.18013968517186862
1682591,0.0
1682592,0.13279324591690578
1682605,0.0
1682609,0.0
1682619,0.14104305238073
1682620,0.0
1682627,0.1092957755278805
1682633,0.0
1682639,0.0
1682642,0.0945532023281716
1682649,0.09473341537416657
1682653,0.09543132968179846
1682656,0.1515854013446276
1682658,0.09624060338219365
1682663,0.09035567187730731
1682665,0.10985146401584683
1682669,0.0
1682671,0.0
1682672,0.1478979872837698
1682684,0.0
1682685,0.11655361946975847
1682694,0.0
1682715,0.0
1682716,0.09874079363165522
1682722,0.0
1682725,0.0
1682727,0.0
1682740,0.13915109528067443
1682746,0.12214275195905733
1682747,0.11186814556219644
1682750,0.0
1682752,0.0
1682756,0.0
1682757,0.09408612443915768
1682762,0.2083482101639843
1682773,0.15089723132528848
1682784,0.0
1682785,0.0
1682786,0.0
1682788,0.1333709823680975
1682792,0.10299445502412719
1682816,0.19098126003134652
1682819,0.0
1682824,0.14310152849845276
1682836,0.0
1682841,0.10866101552193785
1682842,0.0
1682847,0.0
1682850,0.1426932807241964
1682861,0.0
1682862,0.0
1682866,0.0
1682869,0.0
1682876,0.1382964942500158
1682878,0.12352149222690678
1682886,0.0
1682891,0.1913645975489379
1682892,0.12814335067659466
1682894,0.0
1682895,0.12731327361248582
1682902,0.0
1682912,0.1417773525480814
1682915,0.0
1682926,0.16742709428980684
1682927,0.14538238601293285
1682933,0.12941132129777122
1682934,0.09894315281561997
1682942,0.17677434281465834
1682943,0.09686200311376181
1682944,0.11544811371601896
1682949,0.12828210687107347
1682951,0.061133675604143324
1682957,0.16306867330491892
1682958,0.0
1682962,0.0
1682965,0.0
1682985,0.0
1682986,0.0
1683003,0.16661573156866655
1683034,0.0
1683060,0.0
1683066,0.0
1683068,0.0
1683073,0.06672892174476948
1683082,0.16539738295808873
1683084,0.12402549290646166
1683099,0.0
1683100,0.0
1683109,0.10939074213675737
1683113,0.0
1683126,0.0
1683133,0.11746766987785942
1683137,0.15895332345606306
1683142,0.12899138389633613
1683145,0.10064615633581475
1683161,0.0
1683166,0.0
1683167,0.0
1683169,0.0
1683175,0.0
1683178,0.0
1683190,0.0
1683199,0.1293703781197697
1683201,0.11571271004265471
1683210,0.13063094385950574
1683218,0.0
1683219,0.22097118606568267
1683225,0.0
1683227,0.0
1683237,0.0
1683258,0.12934530940723998
1683260,0.08871983803255193
1683263,0.0
1683275,0.0
1683288,0.0
1683292,0.0
1683298,0.0
1683304,0.09433115757041999
1683305,0.12580612581731757
1683308,0.0
1683310,0.0
1683322,0.0
1683337,0.18397713369149918
1683347,0.13334985848375022
1683352,0.0
1683370,0.0
1683379,0.15788993060105666
1683380,0.1680854777911253
1683396,0.0
1683412,0.12748251479673822
1683416,0.0
1683418,0.12081653635464984
1683420,0.10845743341627523
1683426,0.11501169319939297
1683433,0.10145654429068585
1683434,0.13365106596071225
1683444,0.0
1683459,0.0
1683463,0.0
1683483,0.0
1683485,0.1251774750073773
1683488,0.0
1683490,0.1951901537620243
1683497,0.0
1683505,0.0
1683510,0.22384110522740278
1683512,0.09911324727646012
1683513,0.0
1683516,0.0
1683524,0.0
1683533,0.09916150826072447
1683539,0.17353735074976184
1683540,0.0
1683541,0.0
1683554,0.1459965342512031
1683556,0.0
1683562,0.14373786800481447
1683574,0.06962459286888245
1683577,0.09000878106329191
1683578,0.1713539416415215
1683586,0.0
1683595,0.0
1683608,0.11447452234403524
1683610,0.1813859128758109
1683620,0.0
1683625,0.0
1683643,0.21786304140726798
1683647,0.21115278074118748
1683653,0.13297156292802537
1683657,0.11476949898903477
1683665,0.14207959491339128
1683672,0.0
1683674,0.0
1683679,0.0
1683688,0.12613881436728813
1683692,0.13771901124506425
1683700,0.1780973544892911
1683711,0.14106051839367084
1683714,0.09909355962128541
1683716,0.073409254602956
1683723,0.207750637838509
1683726,0.19745357903687877
1683728,0.1387433132501486
1683738,0.15177094965948731
1683753,0.10762802837625429
1683755,0.10808611587869743
1683765,0.0
1683767,0.0
1683772,0.0
1683776,0.0
1683780,0.0
1683786,0.0
1683793,0.0
1683800,0.0
1683803,0.0
1683816,0.0
1683822,0.0
1683823,0.13901204715692853
1683831,0.16788547765556788
1683833,0.0
1683838,0.10935103993669056
1683845,0.1261242542799752
1683865,0.13258135698982765
1683875,0.0
1683879,0.2363417389689152
1683884,0.0
1683896,0.13053999118124326
1683900,0.0
1683916,0.15465318645135318
1683918,0.1558807892560784
1683919,0.14765456223749884
1683924,0.0
1683931,0.0
1683936,0.04284707268830379
1683944,0.1448263739148471
1683948,0.17949622451825176
1683950,0.14363424734354213
1683956,0.053286012581773456
1683973,0.09945211070798599
1683978,0.0
1683980,0.0
1683994,0.0
1683999,0.14994790760715992
1684000,0.0
1684010,0.09160626621363818
1684012,0.09508884482990676
1684014,0.1490960321796928
